cd_ncm_prod_serv,ds_ncm_01,ds_ncm_02,ds_ncm_03,ds_ncm_04,ds_ncm_05,cd_ean_prod_serv,ds_prod_serv,cnpj,cd_prod_serv,estabelecimento
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG",39346861007840,113914202,"CENCOSUD BRASIL COMERCIAL LTDA"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG",39346861007840,113914202,"CENCOSUD BRASIL COMERCIAL LTDA"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG",39346861007840,113914202,"CENCOSUD BRASIL COMERCIAL LTDA"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,7898130990550,"QJ MOZZ BOM DEST KG",39346861007840,166704402,"CENCOSUD BRASIL COMERCIAL LTDA"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG",39346861007840,113914202,"CENCOSUD BRASIL COMERCIAL LTDA"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","&QJ MUSS INTERFOLIADA",00063960004864,00000377023,"WMB SUPERMERCADOS DO BRASIL LTDA."
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG",39346861007840,113914202,"CENCOSUD BRASIL COMERCIAL LTDA"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","&MUSSARELA LANCHE",00063960004864,00000780781,"WMB SUPERMERCADOS DO BRASIL LTDA."
04061090,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Outros,"SEM GTIN","BORDA REQUEIJAO GD",26317428000237,22604,"RUA ALIMENTAR COMERCIO DE ALIMENTOS E BEBIDAS"
04061090,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Outros,7896353300897,"&REQUEIJAO TRADIC",00063960004864,00000263324,"WMB SUPERMERCADOS DO BRASIL LTDA."
04061090,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Outros,7896353300897,"&REQUEIJAO TRADIC",00063960004864,00000263324,"WMB SUPERMERCADOS DO BRASIL LTDA."
04061090,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Outros,7896353300897,"&REQUEIJAO TRADIC",00063960004864,00000263324,"WMB SUPERMERCADOS DO BRASIL LTDA."
04064000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos de pasta mofada (azul*) e outros queijos que apresentem veios obtidos utilizando Penicillium roqueforti","Queijos de pasta mofada (azul*) e outros queijos que apresentem veios obtidos utilizando Penicillium roqueforti","Queijos de pasta mofada (azul*) e outros queijos que apresentem veios obtidos utilizando Penicillium roqueforti","SEM GTIN","QUEIJO GORGONZOLA REGINA KG",15507356000193,1572,"R R INDUSTRIACOMERCIO PANIFICACAO LTDA"
04069010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Outros queijos","Outros queijos","Com um teor de umidade inferior a 36,0 %, em peso (massa dura)",7891999014092,"&QJ PARMESAO F AZUL",00063960004864,00980002689,"WMB SUPERMERCADOS DO BRASIL LTDA."
04069010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Outros queijos","Outros queijos","Com um teor de umidade inferior a 36,0 %, em peso (massa dura)",7891999014092,"&QJ PARMESAO F AZUL",00063960004864,00980002689,"WMB SUPERMERCADOS DO BRASIL LTDA."
04069020,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Outros queijos","Outros queijos","Com um teor de umidade igual ou superior a 36,0 % e inferior a 46,0 %, em peso (massa semidura)","SEM GTIN","QUEI PRATO TIR KG",26269014000107,399,"DELI FRUTA COMERCIAL DE ALIMENTOS EIRELI"
04069030,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Outros queijos","Outros queijos","Com um teor de umidade igual ou superior a 46,0 % e inferior a 55,0 %, em peso (massa macia)",7898134890412,"QJO NAT COALH KG KG",39346861007840,159715602,"CENCOSUD BRASIL COMERCIAL LTDA"
04071100,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Ovos de aves, com casca, frescos, conservados ou cozidos.","Ovos fertilizados destinados à incubação:","De aves da espécie Gallus domesticus","De aves da espécie Gallus domesticus",7897284460001,"OVOS GALINHA OMEGA UN",39346861007840,113115200,"CENCOSUD BRASIL COMERCIAL LTDA"
04071100,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Ovos de aves, com casca, frescos, conservados ou cozidos.","Ovos fertilizados destinados à incubação:","De aves da espécie Gallus domesticus","De aves da espécie Gallus domesticus",7897284460001,"OVOS GALINHA OMEGA UN",39346861007840,113115200,"CENCOSUD BRASIL COMERCIAL LTDA"
04071100,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Ovos de aves, com casca, frescos, conservados ou cozidos.","Ovos fertilizados destinados à incubação:","De aves da espécie Gallus domesticus","De aves da espécie Gallus domesticus",7897284460001,"OVOS GALINHA OMEGA UN",39346861007840,113115200,"CENCOSUD BRASIL COMERCIAL LTDA"
04071100,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Ovos de aves, com casca, frescos, conservados ou cozidos.","Ovos fertilizados destinados à incubação:","De aves da espécie Gallus domesticus","De aves da espécie Gallus domesticus",7897284460001,"OVOS GALINHA OMEGA UN",39346861007840,113115200,"CENCOSUD BRASIL COMERCIAL LTDA"
04071100,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Ovos de aves, com casca, frescos, conservados ou cozidos.","Ovos fertilizados destinados à incubação:","De aves da espécie Gallus domesticus","De aves da espécie Gallus domesticus",7897284460001,"OVOS GALINHA OMEGA UN",39346861007840,113115200,"CENCOSUD BRASIL COMERCIAL LTDA"
04071100,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Ovos de aves, com casca, frescos, conservados ou cozidos.","Ovos fertilizados destinados à incubação:","De aves da espécie Gallus domesticus","De aves da espécie Gallus domesticus",7897284460001,"OVOS GALINHA OMEGA UN",39346861007840,113115200,"CENCOSUD BRASIL COMERCIAL LTDA"
04072100,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Ovos de aves, com casca, frescos, conservados ou cozidos.","Outros ovos frescos:","De aves da espécie Gallus domesticus","De aves da espécie Gallus domesticus",7898913513068,"&OVOS CAIP VERM C/10",00063960004864,00980008255,"WMB SUPERMERCADOS DO BRASIL LTDA."
04072100,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Ovos de aves, com casca, frescos, conservados ou cozidos.","Outros ovos frescos:","De aves da espécie Gallus domesticus","De aves da espécie Gallus domesticus",7899778900567,"OVOS COD PZ 30UN UN",39346861007840,162960100,"CENCOSUD BRASIL COMERCIAL LTDA"
07020000,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.",4000181001021,"TOMATE KG KG",39346861007840,111184302,"CENCOSUD BRASIL COMERCIAL LTDA"
07020000,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.",4000181001021,"TOMATE KG KG",39346861007840,111184302,"CENCOSUD BRASIL COMERCIAL LTDA"
07020000,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.","Tomates, frescos ou refrigerados.",4000181001021,"TOMATE KG KG",39346861007840,111184302,"CENCOSUD BRASIL COMERCIAL LTDA"
07031019,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Cebolas, chalotas, alhos, alhosporros e outros produtos hortícolas aliáceos, frescos ou refrigerados.","Cebolas e chalotas","Cebolas e chalotas",Outras,"SEM GTIN","CEBOLA KG KG",39346861007840,111186002,"CENCOSUD BRASIL COMERCIAL LTDA"
07031019,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Cebolas, chalotas, alhos, alhosporros e outros produtos hortícolas aliáceos, frescos ou refrigerados.","Cebolas e chalotas","Cebolas e chalotas",Outras,"SEM GTIN","CEBOLA KG KG",39346861007840,111186002,"CENCOSUD BRASIL COMERCIAL LTDA"
07031019,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Cebolas, chalotas, alhos, alhosporros e outros produtos hortícolas aliáceos, frescos ou refrigerados.","Cebolas e chalotas","Cebolas e chalotas",Outras,"SEM GTIN","CEBOLA KG KG",39346861007840,111186002,"CENCOSUD BRASIL COMERCIAL LTDA"
07032090,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Cebolas, chalotas, alhos, alhosporros e outros produtos hortícolas aliáceos, frescos ou refrigerados.",Alhos,Alhos,Outros,"SEM GTIN","ALHO ESPECIAL KG KG",39346861007840,119446302,"CENCOSUD BRASIL COMERCIAL LTDA"
07039090,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Cebolas, chalotas, alhos, alhosporros e outros produtos hortícolas aliáceos, frescos ou refrigerados.","Alhosporros e outros produtos hortícolas aliáceos","Alhosporros e outros produtos hortícolas aliáceos",Outros,"SEM GTIN","CEBOLINHA MO UN",39346861007840,111146300,"CENCOSUD BRASIL COMERCIAL LTDA"
07061000,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Cenouras, nabos, beterrabas para salada, cercefi, aiporábano, rabanetes e raízes comestíveis semelhantes, frescos ou refrigerados.","Cenouras e nabos","Cenouras e nabos","Cenouras e nabos",4000240001023,"CENOURA KG KG",39346861007840,111220502,"CENCOSUD BRASIL COMERCIAL LTDA"
07099990,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Outros produtos hortícolas, frescos ou refrigerados.",Outros:,Outros,Outros,7898273890502,"COENTRO HIDROP UN",39346861007840,119535900,"CENCOSUD BRASIL COMERCIAL LTDA"
07099990,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Outros produtos hortícolas, frescos ou refrigerados.",Outros:,Outros,Outros,"SEM GTIN","COENTRO MO UN",39346861007840,111146700,"CENCOSUD BRASIL COMERCIAL LTDA"
07099990,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Outros produtos hortícolas, frescos ou refrigerados.",Outros:,Outros,Outros,"SEM GTIN","COENTRO MO UN",39346861007840,111146700,"CENCOSUD BRASIL COMERCIAL LTDA"
07102900,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Produtos hortícolas, não cozidos ou cozidos em água ou vapor, congelados.","Legumes de vagem, mesmo com vagem:",Outros,Outros,"SEM GTIN","ROLINHO PRIMAVERA",13408943000108,12,"CMP ALIMENTOS EIRELI"
07133399,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Legumes de vagem, secos, em grão, mesmo pelados ou partidos.","Feijões (Vigna spp., Phaseolus spp.):","Feijão comum (Phaseolus vulgaris)",Outros,7898257600059,"&FEIJAO CARIOCA",00063960004864,00980004461,"WMB SUPERMERCADOS DO BRASIL LTDA."
07133590,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Legumes de vagem, secos, em grão, mesmo pelados ou partidos.","Feijões (Vigna spp., Phaseolus spp.):","Feijãofradinho (Vigna unguiculata)",Outros,7898229830118,"FEIJAO BRANCO 500G",14687255000189,7898229830118,"SUPERMERCADO EFCE PEREIRA LTDA"
07133590,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Legumes de vagem, secos, em grão, mesmo pelados ou partidos.","Feijões (Vigna spp., Phaseolus spp.):","Feijãofradinho (Vigna unguiculata)",Outros,7898149730192,"FEIJAO FRADINHO CUCO",14687255000189,7898149730192,"SUPERMERCADO EFCE PEREIRA LTDA"
07133990,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.","Legumes de vagem, secos, em grão, mesmo pelados ou partidos.","Feijões (Vigna spp., Phaseolus spp.):",Outros,Outros,7898257600127,"&FEIJAO FRADINHO",00063960004864,00980004463,"WMB SUPERMERCADOS DO BRASIL LTDA."
08011100,"Fruta; cascas de citros (citrinos*) e de melões.","Cocos, castanhadobrasil (castanhadopará) e castanha de caju, frescos ou secos, mesmo com casca ou pelados.",Cocos:,Dessecados,Dessecados,"SEM GTIN","&COCO SECO",00063960004864,00000419490,"WMB SUPERMERCADOS DO BRASIL LTDA."
08012200,"Fruta; cascas de citros (citrinos*) e de melões.","Cocos, castanhadobrasil (castanhadopará) e castanha de caju, frescos ou secos, mesmo com casca ou pelados.","Castanhadobrasil (castanhadopará):","Sem casca","Sem casca","SEM GTIN","CAST BRASIL GRAUDA A GRANEL",13877824000277,900651,"JORGE MARTINS DA ROCHA"
08013200,"Fruta; cascas de citros (citrinos*) e de melões.","Cocos, castanhadobrasil (castanhadopará) e castanha de caju, frescos ou secos, mesmo com casca ou pelados.","Castanha de caju:","Sem casca","Sem casca",0000000018500,"CAST CAJU BRANCA A GRANEL",13877824000277,900652,"JORGE MARTINS DA ROCHA"
08031000,"Fruta; cascas de citros (citrinos*) e de melões.","Bananas, incluindo as bananasdaterra (bananaspão*) (plátanos*), frescas ou secas.","Bananasdaterra (Bananaspão*) (Plátanos*)","Bananasdaterra (Bananaspão*) (Plátanos*)","Bananasdaterra (Bananaspão*) (Plátanos*)","SEM GTIN","BANANA DA TERRA KG",39346861007840,111200102,"CENCOSUD BRASIL COMERCIAL LTDA"
08039000,"Fruta; cascas de citros (citrinos*) e de melões.","Bananas, incluindo as bananasdaterra (bananaspão*) (plátanos*), frescas ou secas.",Outras,Outras,Outras,"SEM GTIN","BANANA PRATA KG KG",39346861007840,111186402,"CENCOSUD BRASIL COMERCIAL LTDA"
08039000,"Fruta; cascas de citros (citrinos*) e de melões.","Bananas, incluindo as bananasdaterra (bananaspão*) (plátanos*), frescas ou secas.",Outras,Outras,Outras,"SEM GTIN","BANANA PRATA KG KG",39346861007840,111186402,"CENCOSUD BRASIL COMERCIAL LTDA"
08043000,"Fruta; cascas de citros (citrinos*) e de melões.","Tâmaras, figos, abacaxis (ananases), abacates, goiabas, mangas e mangostões, frescos ou secos.","Abacaxis (ananases)","Abacaxis (ananases)","Abacaxis (ananases)","SEM GTIN","ABACAXI SEM ACUCAR",13877824000277,900638,"JORGE MARTINS DA ROCHA"
08043000,"Fruta; cascas de citros (citrinos*) e de melões.","Tâmaras, figos, abacaxis (ananases), abacates, goiabas, mangas e mangostões, frescos ou secos.","Abacaxis (ananases)","Abacaxis (ananases)","Abacaxis (ananases)","SEM GTIN","&ABACAXI GOLDEN",00063960004864,00000799603,"WMB SUPERMERCADOS DO BRASIL LTDA."
08044000,"Fruta; cascas de citros (citrinos*) e de melões.","Tâmaras, figos, abacaxis (ananases), abacates, goiabas, mangas e mangostões, frescos ou secos.",Abacates,Abacates,Abacates,4000306001028,"PIMENTAO VERDE KG KG",39346861007840,111184502,"CENCOSUD BRASIL COMERCIAL LTDA"
08051000,"Fruta; cascas de citros (citrinos*) e de melões.","Citros (Citrinos*), frescos ou secos.",Laranjas,Laranjas,Laranjas,4000027001024,"LARANJA PERA KG KG",39346861007840,111185702,"CENCOSUD BRASIL COMERCIAL LTDA"
08052100,"Fruta; cascas de citros (citrinos*) e de melões.","Citros (Citrinos*), frescos ou secos.","Mandarinas (incluindo as tangerinas e as satsumas); clementinas, wilkings e outros citros (citrinos*) híbridos semelhantes:","Mandarinas (incluindo as tangerinas e as satsumas)","Mandarinas (incluindo as tangerinas e as satsumas)","SEM GTIN","TANGERINA IMPO KG",39346861007840,147482702,"CENCOSUD BRASIL COMERCIAL LTDA"
08055000,"Fruta; cascas de citros (citrinos*) e de melões.","Citros (Citrinos*), frescos ou secos.","Limões (Citrus limon, Citrus limonum) e limas (Citrus aurantifolia, Citrus latifolia)","Limões (Citrus limon, Citrus limonum) e limas (Citrus aurantifolia, Citrus latifolia)","Limões (Citrus limon, Citrus limonum) e limas (Citrus aurantifolia, Citrus latifolia)","SEM GTIN","LIMAO TAITI KG KG",39346861007840,111758902,"CENCOSUD BRASIL COMERCIAL LTDA"
08059000,"Fruta; cascas de citros (citrinos*) e de melões.","Citros (Citrinos*), frescos ou secos.",Outros,Outros,Outros,"SEM GTIN","MARACUJA KG KG",39346861007840,111185102,"CENCOSUD BRASIL COMERCIAL LTDA"
08081000,"Fruta; cascas de citros (citrinos*) e de melões.","Maçãs, peras e marmelos, frescos.",Maçãs,Maçãs,Maçãs,"SEM GTIN","MACA VERDE KG",33224100000150,31,"RSS COMERCIAL DE ALIMENTOS EIRELI"
08081000,"Fruta; cascas de citros (citrinos*) e de melões.","Maçãs, peras e marmelos, frescos.",Maçãs,Maçãs,Maçãs,"SEM GTIN","MACA NACIONAL VERM KG",39346861007840,111188802,"CENCOSUD BRASIL COMERCIAL LTDA"
08132010,"Fruta; cascas de citros (citrinos*) e de melões.","Fruta seca, exceto a das posições 08.01 a 08.06; misturas de fruta seca ou de fruta de casca rija, do presente Capítulo.",Ameixas,Ameixas,"Com caroço",7896292305625,"AMEIXA SECA LATA",14687255000189,7896292305625,"SUPERMERCADO EFCE PEREIRA LTDA"
08132010,"Fruta; cascas de citros (citrinos*) e de melões.","Fruta seca, exceto a das posições 08.01 a 08.06; misturas de fruta seca ou de fruta de casca rija, do presente Capítulo.",Ameixas,Ameixas,"Com caroço",7896292305625,"AMEIXA SECA LATA",14687255000189,7896292305625,"SUPERMERCADO EFCE PEREIRA LTDA"
09012100,"Café, chá, mate e especiarias.","Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café que contenham café em qualquer proporção.","Café torrado:","Não descafeinado","Não descafeinado",7896089012637,"&CAFE PILAO",00063960004864,00000345526,"WMB SUPERMERCADOS DO BRASIL LTDA."
10059010,Cereais.,Milho.,Outros,Outros,"Em grão",7891095006984,"M PIPOCA YOKI PREM UN",39346861007840,110108600,"CENCOSUD BRASIL COMERCIAL LTDA"
10059010,Cereais.,Milho.,Outros,Outros,"Em grão",7891095006984,"M PIPOCA YOKI PREM UN",39346861007840,110108600,"CENCOSUD BRASIL COMERCIAL LTDA"
10059010,Cereais.,Milho.,Outros,Outros,"Em grão",7891095006984,"M PIPOCA YOKI PREM UN",39346861007840,110108600,"CENCOSUD BRASIL COMERCIAL LTDA"
10061091,Cereais.,Arroz.,"Arroz com casca (arroz paddy)","Arroz com casca (arroz paddy)",Parboilizado,7896003941609,"&ARROZ INTEG RARIS",00063960004864,00000408508,"WMB SUPERMERCADOS DO BRASIL LTDA."
10062010,Cereais.,Arroz.,"Arroz descascado (arroz cargo ou castanho)","Arroz descascado (arroz cargo ou castanho)",Parboilizado,7896003989137,"ARROZ 7GRAO 500G UN",39346861007840,110859400,"CENCOSUD BRASIL COMERCIAL LTDA"
10063011,Cereais.,Arroz.,"Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaciado*)","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaciado*)","Polido ou brunido",7893500018469,"&ARROZ PARB TIO JOAO",00063960004864,00000427928,"WMB SUPERMERCADOS DO BRASIL LTDA."
10063011,Cereais.,Arroz.,"Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaciado*)","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaciado*)","Polido ou brunido",7896290300318,"&ARROZ TP1 PRATO FINO",00063960004864,00980007790,"WMB SUPERMERCADOS DO BRASIL LTDA."
10063011,Cereais.,Arroz.,"Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaciado*)","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaciado*)","Polido ou brunido",7893500018469,"ARROZ TIO JOAO 1KG UN",39346861007840,110070600,"CENCOSUD BRASIL COMERCIAL LTDA"
10063019,Cereais.,Arroz.,"Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaciado*)","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaciado*)",Outros,7896006716112,"&ARROZ PARB CAMIL",00063960004864,00000968562,"WMB SUPERMERCADOS DO BRASIL LTDA."
11029000,"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.","Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio (méteil).",Outras,Outras,Outras,7894321219929,"FARINHA AVEIA QUAK UN",39346861007840,140782800,"CENCOSUD BRASIL COMERCIAL LTDA"
11029000,"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.","Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio (méteil).",Outras,Outras,Outras,7894321219929,"FARINHA AVEIA QUAK UN",39346861007840,140782800,"CENCOSUD BRASIL COMERCIAL LTDA"
11029000,"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.","Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio (méteil).",Outras,Outras,Outras,7892840815783,"FARIN AVEIA QUA165 UN",39346861007840,175321100,"CENCOSUD BRASIL COMERCIAL LTDA"
11029000,"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.","Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio (méteil).",Outras,Outras,Outras,7892840815783,"FARIN AVEIA QUA165 UN",39346861007840,175321100,"CENCOSUD BRASIL COMERCIAL LTDA"
11041900,"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.","Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06; germes de cereais, inteiros, esmagados, em flocos ou moídos.","Grãos esmagados ou em flocos:","De outros cereais","De outros cereais",7898366930023,"FLOCAO VITAMILHO UN",39346861007840,110150700,"CENCOSUD BRASIL COMERCIAL LTDA"
11041900,"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.","Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06; germes de cereais, inteiros, esmagados, em flocos ou moídos.","Grãos esmagados ou em flocos:","De outros cereais","De outros cereais",7898366930023,"FLOCAO VITAMILHO UN",39346861007840,110150700,"CENCOSUD BRASIL COMERCIAL LTDA"
11041900,"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.","Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06; germes de cereais, inteiros, esmagados, em flocos ou moídos.","Grãos esmagados ou em flocos:","De outros cereais","De outros cereais",7898366930023,"FLOCAO VITAMILHO UN",39346861007840,110150700,"CENCOSUD BRASIL COMERCIAL LTDA"
12024200,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens.","Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados.",Outros:,"Descascados, mesmo triturados","Descascados, mesmo triturados",7891095011605,"AMENDOIM YOKI 500G UN",39346861007840,110888400,"CENCOSUD BRASIL COMERCIAL LTDA"
12024200,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens.","Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados.",Outros:,"Descascados, mesmo triturados","Descascados, mesmo triturados",7891095011605,"AMENDOIM YOKI 500G UN",39346861007840,110888400,"CENCOSUD BRASIL COMERCIAL LTDA"
12024200,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens.","Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados.",Outros:,"Descascados, mesmo triturados","Descascados, mesmo triturados",7891095011605,"AMENDOIM YOKI 500G UN",39346861007840,110888400,"CENCOSUD BRASIL COMERCIAL LTDA"
12024200,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens.","Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados.",Outros:,"Descascados, mesmo triturados","Descascados, mesmo triturados",7891095011605,"AMENDOIM YOKI 500G UN",39346861007840,110888400,"CENCOSUD BRASIL COMERCIAL LTDA"
